11040104-4,RM,"[""Hello. This is Kim Namjun.""]",91,SMS_M_RM_01_02_01,156,SMS_M_RM_01_03_01,130,SMS_M_RM_01_04_01,How'd you get my number?,Are you really Kim Namjun?,This isn't a dream... Right?
11040104-11,RM,"[""Hello. This is Kim Namjun."",""KThe employee person told me I should text and call this number from now on.""]",156,SMS_M_RM_01_05_01,130,SMS_M_RM_01_06_01,91,SMS_M_RM_01_07_01,",I guess I am their replacement, after all...",$Are you sure this isn't a mistake?,&Does that mean I can keep texting you?
11030112-10,J-Hope,"[""I called on accident..."",""What did you hear me say? T_T""]",156,SMS_M_J-hope_05_02_01,130,SMS_M_J-hope_05_03_01,91,SMS_M_J-hope_05_04_01,From the beginning.,;The part where you were saying Fighting!' to yourself.,"Psh, I heard nothing!"
11050119-5,Jimin,"[""Jimin, is your knee okay?"",""8I put on the band-aid you gave me Manager Thank you hehe""]",91,SMS_M_Jimin_10_02_01,130,SMS_M_Jimin_10_03_01,156,SMS_M_Jimin_10_04_01,Be careful next time.,!Let's go to the emergency room!,Stop getting hurt...
11040217-7,RM,"[""Manager... Are you sleeping?"",""!Taehyung must've felt terrible.""]",91,SMS_M_RM_20_02_01,130,SMS_M_RM_20_03_01,156,SMS_M_RM_20_04_01,He didn't look too happy.,He looked okay?,"6Namjun, you look like you're having a hard time too."
11040217-21,RM,"[""Manager... Are you sleeping?"",""+What can I do to make Taehyung feel better?""]",156,SMS_M_RM_20_05_01,130,SMS_M_RM_20_06_01,91,SMS_M_RM_20_07_01,How about a sincere apology?,Buy him a burger combo?,AInclude glass mentality <color=#42b7fe>boy</color> in the lyrics.
11070305-7,Jungkook,"[""Manager."",""It was fun hehe""]",130,SMS_M_Jungkook_23_02_01,91,SMS_M_Jungkook_23_03_01,156,SMS_M_Jungkook_23_04_01,%Are you sure you weren't surprised?,"Psh, you did fall for it!",I'm happy that you had fun!
11070305-15,Jungkook,"[""Manager."",""8I was able to shake it off thanks to you and the hyungs.""]",156,SMS_M_Jungkook_23_05_01,130,SMS_M_Jungkook_23_06_01,91,SMS_M_Jungkook_23_07_01,Why are you sorry?,So is it time to go record?,The hyungs or me?
11020409-6,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"",""!I think it's safe to relax now!""]",156,SMS_M_Suga_32_02_01,130,SMS_M_Suga_32_03_01,0,0,"1Huh? It's the most handsome of them all, Yunki!",I wasn't worried at all?,
11020409-16,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"",""QThe other members are sad that their first fan hasn't been commenting lately...""]",156,SMS_M_Suga_32_05_01,130,SMS_M_Suga_32_06_01,0,0,-Should I reveal their first fan's identity?,.How about you comment using your real account?,
11020409-23,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"","":You seem so nice, Manager, but that's cold! T_T shupshup""]",156,SMS_M_Suga_32_08_01,130,SMS_M_Suga_32_09_01,91,SMS_M_Suga_32_10_01,Sorry... I'll stop teasing!,#Do you want me to keep it a secret?,3You don't sound like your usual self... Shupshup?
11010505-4,Jin,"[""Manager... Are you busy?""]",130,SMS_M_Jin_36_02_01,156,SMS_M_Jin_36_03_01,0,0,Nope nope not at all!,&A little but it's okay. What's up?,
